AB,Alberta,Alberta
BC,British Columbia,Colombie-Britannique
CW,All Canada,Tout le Canada
IP,Two or more provinces but not Canada wide,Deux provinces ou plus mais pas entièrement le Canada
MB,Manitoba,Manitoba
NB,New Brunswick,Nouveau-Brunswick
NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador
NS,Nova Scotia,Nouvelle-Écosse
NT,North West Territories,Territoires du Nord-Ouest
NU,Nunavut,Nunavut
ON,Ontario,Ontario
PE,Prince Edward Island,Île-du-Prince-Édouard
QC,Quebec,Québec
SK,Saskatchewan,Saskatchewan
US,United States of America,États-Unis
YT,Yukon,Yukon
